age,sex,race,realrinc,educ,hrs1,marital,bible,childs,paeduc,maeduc,degree
46,0,2,45400,18,40,3,2,3,NA,16,1
19,1,3,NA,13,NA,5,2,0,7,12,0
65,1,2,NA,19,NA,4,4,5,12,18,1
37,0,3,NA,16,NA,1,3,1,2,6,0
64,0,1,NA,12,NA,1,1,2,12,11,0
22,0,1,NA,14,40,1,1,0,16,12,0
28,1,1,37455,16,50,1,3,0,18,NA,1
24,0,3,4086,17,50,5,2,0,20,17,1
43,1,1,37455,15,40,1,2,0,NA,15,0
32,1,1,17025,16,37,5,3,1,NA,12,1
76,0,1,NA,16,NA,1,2,3,8,12,1
21,0,1,3405,14,30,5,2,0,13,16,0
48,0,3,30645,14,40,1,3,2,14,3,0
76,1,1,NA,15,NA,1,2,2,12,12,0
55,0,1,37455,16,37,1,2,0,9,10,1
70,0,1,14755,14,40,3,3,1,NA,12,0
66,0,1,NA,18,NA,3,3,3,16,15,1
37,0,3,14755,19,40,3,2,1,3,6,1
70,0,1,NA,16,NA,1,2,2,16,16,1
43,1,1,54480,18,57,1,2,0,17,15,1
19,0,3,NA,9,NA,5,1,1,NA,10,0
70,1,1,NA,15,NA,1,2,3,12,10,0
40,0,1,37455,18,42,1,2,0,16,16,1
59,1,3,1589,20,35,1,NA,2,7,7,1
70,0,1,NA,12,NA,1,1,3,7,7,0
31,1,1,10782.5,13,30,5,3,0,16,16,0
51,0,3,37455,18,36,5,1,0,18,16,1
32,0,2,8512.5,15,30,1,2,0,12,12,0
60,0,1,NA,12,NA,1,NA,2,12,12,0
27,1,1,8512.5,12,35,5,3,0,12,16,0
89,1,1,NA,16,NA,2,2,2,6,4,1
50,0,2,NA,11,NA,3,2,5,12,NA,0
44,0,2,14755,16,20,5,1,6,12,12,1
85,0,1,NA,12,NA,2,1,4,NA,3,0
33,1,1,14755,12,60,1,2,3,6,9,0
31,0,1,NA,14,NA,5,3,1,NA,14,0
46,0,1,72640,16,50,1,2,2,NA,12,1
72,1,1,151050.72136000003,16,70,1,3,3,15,16,1
50,0,1,37455,20,15,3,2,2,16,18,1
66,1,1,NA,20,NA,1,2,2,20,14,1
35,0,1,20430,17,38,5,2,0,17,16,1
35,0,2,NA,11,44,5,1,2,NA,12,0
33,0,2,NA,13,35,5,1,1,NA,12,0
66,0,1,NA,6,NA,4,3,5,NA,NA,0
53,1,1,14755,10,10,1,1,5,NA,8,0
37,0,2,NA,16,NA,1,1,4,NA,NA,1
33,1,1,37455,12,44,1,3,0,12,16,0
28,1,2,NA,16,40,1,2,2,16,16,1
30,0,1,NA,16,NA,1,2,1,14,12,1
37,1,1,NA,11,40,1,3,1,11,12,0
38,1,3,37455,16,40,1,3,0,12,12,0
84,1,1,NA,14,NA,1,1,2,11,12,0
66,1,1,30645,17,50,1,1,2,17,17,1
29,0,3,24970,16,40,1,2,0,16,16,1
39,1,1,54480,17,45,1,3,1,17,17,1
33,0,2,45400,16,45,1,1,2,16,14,1
68,0,3,20430,18,2,2,1,0,12,12,1
70,0,1,NA,16,30,1,2,2,16,16,1
50,1,1,NA,16,NA,1,2,2,12,4,1
54,1,1,72640,17,40,1,2,2,17,14,1
45,1,1,NA,16,NA,1,3,2,NA,12,1
48,0,1,NA,14,65,1,2,1,20,14,0
73,1,1,NA,16,NA,1,2,2,12,12,1
77,0,1,NA,18,NA,1,2,1,11,NA,1
59,0,1,54480,16,50,2,2,1,8,11,1
72,1,1,12485,12,NA,1,2,2,12,12,0
68,1,1,NA,18,NA,1,1,6,6,12,1
60,0,1,7377.5,12,44,1,2,1,16,14,0
63,1,1,24970,12,60,1,1,3,12,12,0
45,1,1,6242.5,14,25,5,2,0,12,NA,0
35,0,1,151050.72136000003,13,30,1,2,4,18,14,0
22,0,1,227,12,NA,5,1,2,12,16,0
36,0,1,NA,12,35,1,2,3,NA,12,0
76,0,1,227,13,6,2,2,4,3,NA,0
61,0,1,NA,12,NA,1,2,2,16,12,0
